"tax_id","parent_id","rank","tax_name","root","below_root","below_below_root","below_below_below_root","superkingdom","below_superkingdom","below_below_superkingdom","below_below_below_superkingdom","below_below_below_below_superkingdom","below_below_below_below_below_superkingdom","phylum","below_phylum","below_below_phylum","subphylum","class","below_class","below_below_class","below_below_below_class","subclass","order","below_order","below_below_order","suborder","family","below_family","below_below_family","below_below_below_family","tribe","genus","below_genus","subgenus","species_group","species_subgroup","below_species_subgroup","species","below_species","below_below_species","subspecies","below_subspecies","below_below_subspecies"
"480224","1107","species","Chloroflexus sp. Y-400-fl","1","131567","","","2","1783272","","","","","200795","","","","32061","","","","","32064","","","1508594","1106","","","","","1107","","","","","","480224","","","","",""
"100716","100715","species","Chloroherpeton thalassium","1","131567","","","2","1783270","68336","","","","1090","","","","191410","","","","","191411","","","","191412","","","","","100715","","","","","","100716","","","","",""
"51","50","species","Chondromyces apiculatus","1","131567","","","2","","","","","","1224","","","68525","28221","","","","","29","","","80812","49","","","","","50","","","","","","51","","","","",""
"394935","535","species","Chromobacterium haemolyticum","1","131567","","","2","","","","","","1224","","","","28216","","","","","206351","","","","1499392","90153","","","","535","","","","","","394935","","","","",""
"686831","535","species","Chromobacterium piscinae","1","131567","","","2","","","","","","1224","","","","28216","","","","","206351","","","","1499392","90153","","","","535","","","","","","686831","","","","",""
"223900","42054","species","Chromohalobacter japonicus","1","131567","","","2","","","","","","1224","","","","1236","","","","","135619","","","","28256","","","","","42054","","","","","","223900","","","","",""
"158080","42054","species","Chromohalobacter salexigens","1","131567","","","2","","","","","","1224","","","","1236","","","","","135619","","","","28256","","","","","42054","","","","","","158080","","","","",""
"54299","54298","species","Chroococcidiopsis thermalis","1","131567","","","2","1783272","1798711","","","","1117","","","","","","","","","1890505","","","","1890528","","","","","54298","","","","","","54299","","","","",""
"558151","59732","species","Chryseobacterium angstadtii","1","131567","","","2","1783270","68336","","","","976","","","","117743","","","","","200644","","","","49546","","","","","59732","","","","","","558151","","","","",""
"266748","59732","species","Chryseobacterium antarcticum","1","131567","","","2","1783270","68336","","","","976","","","","117743","","","","","200644","","","","49546","","","","","59732","","","","","","266748","","","","",""
"452084","59732","species","Chryseobacterium aquaticum","1","131567","","","2","1783270","68336","","","","976","","","","117743","","","","","200644","","","","49546","","","","","59732","","","","","","452084","","","","",""
"365343","59732","species","Chryseobacterium caeni","1","131567","","","2","1783270","68336","","","","976","","","","117743","","","","","200644","","","","49546","","","","","59732","","","","","","365343","","","","",""
"412438","59732","species","Chryseobacterium daeguense","1","131567","","","2","1783270","68336","","","","976","","","","117743","","","","","200644","","","","49546","","","","","59732","","","","","","412438","","","","",""
"236814","59732","species","Chryseobacterium formosense","1","131567","","","2","1783270","68336","","","","976","","","","117743","","","","","200644","","","","49546","","","","","59732","","","","","","236814","","","","",""
"1324352","59732","species","Chryseobacterium gallinarum","1","131567","","","2","1783270","68336","","","","976","","","","117743","","","","","200644","","","","49546","","","","","59732","","","","","","1324352","","","","",""
"250","59732","species","Chryseobacterium gleum","1","131567","","","2","1783270","68336","","","","976","","","","117743","","","","","200644","","","","49546","","","","","59732","","","","","","250","","","","",""
"345663","59732","species","Chryseobacterium greenlandense","1","131567","","","2","1783270","68336","","","","976","","","","117743","","","","","200644","","","","49546","","","","","59732","","","","","","345663","","","","",""
"456299","59732","species","Chryseobacterium gregarium","1","131567","","","2","1783270","68336","","","","976","","","","117743","","","","","200644","","","","49546","","","","","59732","","","","","","456299","","","","",""
